id,name,character_groups,character_ids,event_ids,artifact_ids,size,themes,importance,gm_actions,text_npc_first_message,after_jump,locked,description,gm_notes,copy_from_characters
90,Black day fight,,"Gaylen Russell, Tan Ellis, Hale Green, Alia Okuma, Hali Okuma",,,Small,The Machines,Nice to have,No need,FALSE,,FALSE,"520 Gaylen Russell followed orders and broguth the machine-made human-like android back to EOC. It cost lives of many (the whole fleet except Gaylen's ship was destroyed). Tan Ellis and Hale Green was there to recover the human-like android. See more on plot Android Devyn Pearson.
Hali Okuma's spouse Alia Okuma died in that fight.",,"Gaylen Russell
The most difficult decision you ever had to make was 22 years ago. It was a secret mission to study an enemy vessel, a machine-build ship that had crashed on an asteroid. Your fleet was close, so you sent a group of soldiers to investigate. They found an android that looked exactly like a real human. They alerted the fleet and you gave the order to jump close by, bringing a scientist, one Evin Reid, with you. The operation to remove the humanlike android from the wreck was all but done, when suddenly the enemy jumped in the same sector. It was a huge fleet. You would have no chance to defeat it with the ships you had. Your orders, however, were crystal clear: bring the android to the EOC area - whatever the cost. You could have given the word to your fleet to jump and run, leaving the android where it was, saving thousands, but it would have broken the code you had followed for over twenty years. You knew what you had to do, but you just couldn’t make the words come out. You thought of all the soldiers in the ships around you and the seconds just flew by. Your sister, Shilah (NPC), was on one of those ships. Your friends were in them. The android could be a key to end this war - it could open so many doors to your researchers to understand these machines and their technology. You could never beat the Machines. Your bridge crew looked at you with desperation as you stood there, face like stone, seemingly calm. It seemed to last forever.
Finally you gave the order. The fleet was to protect your flagship, the fastest vessel in the fleet, until the android and everything in the wreck was on board. Then you would all try your best to escape. You could hear the solemnity in your officers' voices as they accepted your orders. Your head was spinning and you felt like you were drowning in the weight of your decision. You looked at the massacre that the Machines made around you as the android was being moved. It took too long, surely you would all die - but you didn’t. Finally the cargo was safe and you could flee the battle. What was left of your fleet would have no chance of escaping the enemy, but you gave the order anyway. Seconds before you jumped you thanked them for their service for the Emperor."
91,Idris Kalashnik is Idris McBride,,"Idris Kalashnik, Idris McBride, Osha Green, Zyra Lee, Mel McBride",,,Small,Changed identity,Nice to have,No need,FALSE,,FALSE,"Idris has had huge struggles with a mental illness. One very serious episode caused them to leave their old life behind. On Odysseus, Idris will run into their past. What will their niece Osha, their godchild Zyra, and most important of all, the love of their life Mel say when Idris is not dead after all? Idris was married to Mel McBride.",,
92,Lane Thomas is Lane Hayakawa,,"Lane Thomas, Lane Hayakawa, Isha Hayakawa, Shae Thomas",,,Small,Changed identity,Nice to have,No need,FALSE,,FALSE,"Lane Hayakawa were born into a good family with a sibling five years older than Lane, Isha Hayakawa. Their mother died unexpectedly and father developed depression, so Isha had to take care of the family. Lane had a love for engineering and at the age of 16, they were the youngest mechanical engineering student or professional ever to gain the Imperial Science Award. 
However, Lane did not want the attention but wanted to be left alone and finally they just snapped. Without telling anyone they left Ellarion and ended up on Osiris, where Lane began a new life as Lane Thomas and became best friends with neighbor, Vane Hodge, until they left for studies elsewhere.",,
93,A child who should not be - Mael,,"Jaeco, Mael, Nayel",,,Small,"Genes, heritable illness",Nice to have,No need,FALSE,,FALSE,"Jaeco fell in love with Yula. For the first time in Jaeco's life they did something against their own moral compass: Jaeco tweaked the waiting line of a baby to grant Yula a chance to become a parent faster. 
Jaeco persuaded Nayel to manipulate the genetic matching system, ensuring Jaeco's genes were used for Yula's child. Nine months later, Yula and Shawna welcomed a child named Mael, who was raised with Ilias and Pelia. Jaeco continued their life as a Protector, comforted by being partially connected to the family.
Later on Nayel found out that the illness (musclular dystrophy) that Jaeco had was passed down to Mael. That was the reason why Jaeco's cells weren't used before to make a baby. ",,
94,Elder gene,"Medics, Scientists, Politicians","Fenix Ellis, Flann Hollow, Hale Green, Jardan, Jonah Malone, Juno Aurelios Cauruleos, Kerrie Ray, Leigh Kent, Lonnie Gordon, Naethan, Nayel, The Guardian, Vane Hodge",,,Large,"Genes, Elder gene, Sacrifice",Mandatory,Briefing Character,FALSE,,FALSE,"If you have an elder gene you can operate elder artifacts (healing device, cloaking device etc.). One possible endin is that 4 people are using a cloaking device while Starcaller goes in the middle of enemy and explodes everything to pieces. Those 4 needs to have the elder gene.
Elder gene can be determined by the gene test (medics/scientists).",,
95,Gabe Abrankowich (NPC) molested,Security,"Gabe Abrankowich, Jin Komatsu, Tyler Carrillo, Skye Duran, Fran Abrankowich",,,Small,Molesting,Nice to have,Text NPC,FALSE,,FALSE,Before Starcaller mission at the main fleet Jin Komatsu saw Tyler Carrillo and Skye Duran taking advantage of drunk Gabe Abrankovich.,"Someone might ask from Gabe about this (Fran, police etc)","Skye Duran
A huge celebration waited for us. It was time to party like it was the end of the world. We both proceeded to get unimaginably drunk. We kept being pulled in separate directions when people wanted to buy us shots, raising toast to the heroes. I did not know how to handle the attention, so I kept drinking until I could hardly stand up. Tyler got a lap dance, which looked quite ridiculous. An older, quite attractive person was making passes at me. I welcomed the distraction and went for it. We got a little carried away, making out and feeling each other up in the corner of the bar. Suddenly we were interrupted by Tyler, who pulled them off of me and hit them so hard in the face that they fell to the floor. What the fuck! Some marines came and dragged Tyler away, telling me that they would put them in the brig to cool down. Serves them right, I thought.
Jin Komatsu
I ran into them at a party celebrating the miraculous return of the two pilot heroes, Tyler Carrillo and Skye Duran. Fran’s spouse was quite drunk and in a fragile state. I should have stayed with them and kept them company, but I was on my way to a conversation about the Starcaller mission that was being planned.
Later I came back to the party, just in time to see a disgusting scene. Duran was making out with Fran’s spouse, hands inside their clothes, fondling them in public - clearly taking advantage of their inebriated, vulnerable state. Carrillo was there too, pulling Fran’s spouse from the back of their shirt in a violent manner. I ran to the nearest marines and, taking my most authoritative voice, ordered them to go and stop this. They did, just in time when Carrillo hit Fran’s spouse in the face so hard that they fell to the ground. The marines took Duran and Carrillo away, hopefully to the brig. I went to help Fran’s spouse, taking them to sick bay. I should have stayed."
96,Starcaller mission,All,,53,,Large,"Starcaller, The Machines",Should have,Empty Epsilon,FALSE,18,FALSE,"More about the bomb in a plot Jodey's bomb.
More about the betty bomb in plot Betty on Starcaller",,
97,The death of Merissa Voight (NPC),,"Merissa Voight, Jodey Agaki",61,,Small,Death of NPC,Mandatory,Database change,TRUE,,FALSE,Merissa Voight was Jodey Agaki's collegue in the AVK-012 lab. They tried to save Agaki's project druing the machine attacks but fell over when they were escaping. Jodey didn't stop to help because saving the work was more important. Merissa did survive but will die later in the game.,"Merissa dies when ESS Polaris is destroyed.
A fellow scientist (example Kara Bennett) can inform Jodey.
Jodey might also send ""I'm sorry message"" and Merissa can send Jodey an angry message why they didn't help them. At least if Jodey hasn't sent any messages, send a message before they die.",
98,Lee Savage is at it again,,"Lee Savage, Leone Mills, Eran Fox",,,Small,Relationship,Nice to have,Text NPC,FALSE,,FALSE,"Leone Mills is currently in a relationship with Lee Savage from Beta team. Back in the academy Lee dated another good friend of Kerrie Ray's, Eran Fox (NPC), who was head over heels in love with Lee, but Lee just stringed them along and once they graduated after years of dating broke it off and ghosted Eran. And now Kerrie sees it happening all over again with Leone.
Lee Savage side: They dated Eran Fox (NPC) throughout  the academy but something was always missing. Lee broke it off in the end. It was only after the academy when Lee met Leone Mills, when they really fell in love. Lee is wondering whether to propose, they have the ring but feel they need to talk to their friends about it first.",Kerrie might ask Eran to tell Leone their story.,
99,Death of Lee Savage,Marines,"Lee Savage, Avery Higashi, Harley Carroll, Gene Hawkins, Zyra Lee, Fenix Ellis",46,,Medium,"Death of Character, Mission",Mandatory,Briefing Character,FALSE,17,TRUE,"Lee will die in a partly pre-planned event during the last hours of the larp. It will be a casualty on a mission, but the player can choose how long it will take for their character to die, so that they can say all the proper farewells. It is up to them if Lee wants to propose to Leone before that or just tell their teammates they are about to do it. ",GMs will inform the player about the exact timing of the incident.,
100,Connecting Velians and EOC politics,"Velians, Politicians","Leigh Kent, Aedan, Taelor",,,Small,Politics,Should have,No need,FALSE,,FALSE,"Leigh is supposed to be a connecting character between the Velians and EOC politicians, and also a supporter of preserving the Velian culture with Aedan and Taelor.",,
101,Nickie Ramirez's father - Roan Rowen,,"Nickie Ramirez, Roan Rowen, Amy Ramirez, Bill Ramirez, Lonnie Gordon",,,Small,Lost relative,Should have,No need,FALSE,,FALSE,Nickie Ramirez doesn't know that Bill Ramirez is not heir real father. The real father is Roan Rowen. Lonnie Gordon only knows Amy said it was RR and that RR was a young promising officer who left just before Amy found out that they were pregnant.,,
